Country Name,Country Code,Year,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)
Ukraine,UKR,2021,194.1363,4.38244379511425,62.9486,21.1771,285.0364,6.43442778378749
Ukraine,UKR,2022,119.345,2.90739555971061,61.6401,12.9718,199.7695,4.86663837836197
Ukraine,UKR,2023,121.6952,3.22518031774765,61.4902,12.151,201.6123,5.34315257936085
Ukraine,UKR,2024,118.4778,3.12934781865114,60.6657,11.2784,196.964,5.20239963733968
United Kingdom,GBR,2017,380.7118,5.77133371736955,67.8644,20.7678,490.84,7.44080283782555
United Kingdom,GBR,2018,373.8821,5.64018313747379,66.6979,20.5631,482.168,7.27372565584034
United Kingdom,GBR,2019,359.0131,5.38807912233045,65.0722,20.3269,464.709,6.97436628596299
United Kingdom,GBR,2020,319.6964,4.78988972791562,62.714,20.0874,421.5411,6.31579018338727
United Kingdom,GBR,2021,337.9148,5.04470918428281,61.6947,19.5833,437.8694,6.53692523587722
United Kingdom,GBR,2022,324.9949,4.80733240636649,60.7494,19.7898,423.3672,6.2624578427312
United Kingdom,GBR,2023,304.7866,4.44995911931321,59.4471,19.4186,400.6095,5.84899696314898
United Kingdom,GBR,2024,292.4194,4.22412677317771,58.8826,19.2256,386.6957,5.58598936815647
